saps,fecha,fecha_mes,fecha_anio,id_servicio,prestacion_categoria,prestacion_tipo,consulta_cantidad,barrio_operativo
CICHERO,2023-02-01,2,2023,4,ENFERMERIA,CURACIONES,28,
CICHERO,2023-02-01,2,2023,4,ENFERMERIA,INYECTABLES,78,
CICHERO,2023-02-01,2,2023,4,ENFERMERIA,INMUNIZACIONES,102,
SANTA CATALINA,2023-02-01,2,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,30,
SANTA CATALINA,2023-02-01,2,2023,4,ENFERMERIA,TEMPERATURA,4,
SANTA CATALINA,2023-02-01,2,2023,4,ENFERMERIA,PESO Y TALLA,40,
SANTA CATALINA,2023-02-01,2,2023,4,ENFERMERIA,CURACIONES,6,
SANTA CATALINA,2023-02-01,2,2023,4,ENFERMERIA,INYECTABLES,18,
SANTA CATALINA,2023-02-01,2,2023,4,ENFERMERIA,INMUNIZACIONES,64,
DR. BENJAMIN SERRANO,2023-02-01,2,2023,4,ENFERMERIA,CONTROL TENSION ARTERIAL,216,
DR. BENJAMIN SERRANO,2023-02-01,2,2023,4,ENFERMERIA,TEMPERATURA,2,
DR. BENJAMIN SERRANO,2023-02-01,2,2023,4,ENFERMERIA,GLUCEMIA,8,
DR. BENJAMIN SERRANO,2023-02-01,2,2023,4,ENFERMERIA,NEBULIZACIONES,2,
DR. BENJAMIN SERRANO,2023-02-01,2,2023,4,ENFERMERIA,PESO Y TALLA,242,
DR. BENJAMIN SERRANO,2023-02-01,2,2023,4,ENFERMERIA,CURACIONES,7,
DR. BENJAMIN SERRANO,2023-02-01,2,2023,4,ENFERMERIA,INYECTABLES,36,
DR. BENJAMIN SERRANO,2023-02-01,2,2023,4,ENFERMERIA,INMUNIZACIONES,45,
